review_id;purchase_date;item_id;item_name;category;sub_category;total_price;promo_code;sales_after_promo
1;21/07/2022;2;Pencetan Pompa Galon Elektrik Recharge Usb;Kitchen Equipment;Pompa Galon;75000;GRATIS_ONGKIR;70000
2;15/07/2022;311;Studio Tropik: Flawless Priming Water - 30 ml;Make-up;Face Primer;117000;GRATIS_ONGKIR;112000
3;10/07/2022;270;OPI Top Coat - NTT30;Fashion Wanita;Coat Wanita;440000;GRATIS_ONGKIR;435000
4;09/07/2022;222;GDFLLW Corduroy Mens Trucker Jackett - Brown, S;Fashion Pria;Jaket Pria;229000;;
5;19/07/2022;171;rompi terbaru , rompi anti angin , rompi motor , rompi original - S, Hitam;Fashion Pria;Vest Pria;450000;;
6;28/07/2022;27;BENZ BZ-030 Timbangan Duduk Digital 30 Kg - Buah Sayur Laundry Scale;Kitchen Equipment;Timbangan Dapur;299999;GRATIS_ONGKIR;294999
7;23/07/2022;402;PULMICORT 0.25MG RESPULES 5`S/BUDESONIDE/ASMA/SESAK NAFAS;Medicine;Obat Lainnya;217500;;
8;27/07/2022;377;Jelly Gamat Gold G Sea Cucumber 500 ml | 500ml |;Medicine;Obat Herbal;360000;GRATIS_ONGKIR;355000
9;18/07/2022;370;Raecca Instant Blurring Effect Powder - Amazing;Make-up;Bedak Wajah;138000;;
10;29/07/2022;430;PARIET 20 MG BOX 14 TABLET;Medicine;Obat Alergi;538850;GRATIS_ONGKIR;533850
11;30/07/2022;387;AMLODIPINE BESILATE KIMIA FARMA 5 MG BOX 50 TABLET;Medicine;Obat Sakit Kepala & Demam;17244;;
12;28/07/2022;236;Blazer Kerja Wanita Formal Lengan Panjang Hitam High Quality - Abu, S;Fashion Wanita;Blazer Wanita;130000;;
13;09/07/2022;333;PIXY Make it Glow Skin Primer 101 Beige;Make-up;Face Primer;116000;GRATIS_ONGKIR;111000
14;05/07/2022;66;tabung gas 3 kg / Tabung Gas 3kg Kosong / Tabung Gas Melon 3kg;Kitchen Equipment;Regulator & Penghemat Gas;485997;;
15;22/07/2022;430;PARIET 20 MG BOX 14 TABLET;Medicine;Obat Alergi;269425;;
16;05/07/2022;133;Hand Operated Paper CD Card Shredder / Penghancur Kertas Manual - Blue - Biru;Electronics;Mesin Penghancur Kertas;119600;GRATIS_ONGKIR;114600
17;14/07/2022;25;Selang & Regulator Gas Quantum QRL - 032;Kitchen Equipment;Regulator & Penghemat Gas;188000;GRATIS_ONGKIR;183000
18;19/07/2022;312;PIXY Concealing Base 4 Beauty Benefits 04 Caramel Beige;Make-up;Concealer & Color Corrector;32000;GRATIS_ONGKIR;27000
19;30/07/2022;370;Raecca Instant Blurring Effect Powder - Amazing;Make-up;Bedak Wajah;207000;;
20;20/07/2022;267;SWEPO Hoodie Jumper Brooklyn 1991 (Sablon) S -XXL - HIJAU LUMUT,M;Fashion Wanita;Hoodie Wanita;149600;GRATIS_ONGKIR;144600
21;08/07/2022;289;Baju Inner Tanpa Lengan Sleeveless - Atasan Daleman Busui / Blazer - Hitam, L;Fashion Wanita;Blazer Wanita;110000;GRATIS_ONGKIR;105000
22;09/07/2022;22;Timbangan digital gram Kitchen scale Timbangan kue buah SF-400 10KG;Kitchen Equipment;Timbangan Dapur;53776;;
23;17/07/2022;85;BASEUS WIRELESS PRESENTER POINTER PEN REMOTE CONTROL LASER POINTER PEN - Abu-abu;Electronics;Laser Pointer;159000;;
24;12/07/2022;147;GREEN LASER POINTER / LASER POINTER HIJAU 303;Electronics;Laser Pointer;55000;GRATIS_ONGKIR;50000
25;20/07/2022;207;Jaket Rompi Vest Parasut - Rompi Bikers - Rompi Motor - Rompi Tebal - Green Army, L;Fashion Pria;Vest Pria;260000;GRATIS_ONGKIR;255000
26;04/07/2022;400;VENTOLIN 2.5MG NEBULES 4`S/SALBUTAMOL/ASMA/SESAK NAFAS;Medicine;Obat Lainnya;104000;;
27;14/07/2022;238;DUMA x NAGITA - CHAI BLAZER SHIRT NAVY;Fashion Wanita;Blazer Wanita;2025000;;
28;22/07/2022;133;Hand Operated Paper CD Card Shredder / Penghancur Kertas Manual - Blue - Biru;Electronics;Mesin Penghancur Kertas;179400;;
29;11/07/2022;31;Tap Smart Pompa Galon Electric Dispenser Air Minum Water Pump Elektrik;Kitchen Equipment;Pompa Galon;68888;GRATIS_ONGKIR;63888
30;14/07/2022;19;Sanken Dispenser Galon Bawah Low Watt HWD-C535IC HWD 535IC;Kitchen Equipment;Dispenser Air;1439000;;
31;16/07/2022;384;Sodium Percarbonate / Hydrogen Peroxide Powder / H2O2 Powder - 1 Kg;Medicine;Obat Batuk & Pilek;25000;;
32;10/07/2022;438;CANDESARTAN OGB DEXA MEDICA 16 MG BOX 30 TABLET;Medicine;Obat Alergi;66686;;
33;21/07/2022;322;ESQA Flawless Liquid Mini Concealer - Vanilla;Make-up;Concealer & Color Corrector;90000;;
34;06/07/2022;233;Parayu - Jas Blazer Wanita Kancing Satu Formal Kantoran - Hitam, M;Fashion Wanita;Blazer Wanita;162500;GRATIS_ONGKIR;157500
35;01/07/2022;129;Kartu RFID 13,56 MHz S50 1K / M1fare compatible;Electronics;Kartu RFID;1670;;
36;29/07/2022;244;CARDIGAN PREMIUM HOT BERSHKA WANITA PREMIUM KNIT - CARDIGAN WANITA - MUSTARD;Fashion Wanita;Cardigan Wanita;99000;;
37;09/07/2022;317;SOMETHINC Copy Paste Breathable Mesh Cushion SPF 33 PA++ - Serene Refill;Make-up;Cushion;197500;;
38;06/07/2022;411;Takabb Handy PackThailand/Takabb cough untuk sakit tenggorokan - ORIGINAL;Medicine;Obat Batuk & Pilek;25500;GRATIS_ONGKIR;20500
39;10/07/2022;388;BENOSON N KRIM 15 GRAM;Medicine;Obat Kulit;122052;;
40;21/07/2022;421;LO HAN KUO LOHANKUO LOHAN KUO INFUSION SSA;Medicine;Obat Batuk & Pilek;21500;;
41;24/07/2022;246;JAKET WANITA JAKET PARKA JAKET SEMI PARKA ORIGINAL - SANDANGMAS MULYA - Blazer Abu, M;Fashion Wanita;Jacket Wanita;130000;GRATIS_ONGKIR;125000
42;09/07/2022;70;karet Seal Tabung gas LPG SNI Ball isi 1000pcs;Kitchen Equipment;Regulator & Penghemat Gas;120000;GRATIS_ONGKIR;115000
43;08/07/2022;427;PROSTACOM 5 MG BOX 30 TABLET;Medicine;Obat Sakit Kepala & Demam;202710;;
44;21/07/2022;228;Outer Sweater Cardigan Fashionable Baju Atasan Wanita Import - Arowood, M;Fashion Wanita;Hoodie Wanita;291000;;
45;07/07/2022;298;Atasan Wanita Bahan Rajut Cardigan Import - CardiGCBiru;Fashion Wanita;Cardigan Wanita;142000;GRATIS_ONGKIR;137000
46;02/07/2022;73;T&W Pompa Air Galon Elektrik Dispenser Dengan Tatakan Water Pump - Putih;Kitchen Equipment;Pompa Galon;239700;GRATIS_ONGKIR;234700
47;11/07/2022;223;Jaket Tactical Pria Jaket Tad Free Logo Indonesia Garuda Anti Angin - Crem, M;Fashion Pria;Jaket Pria;124900;GRATIS_ONGKIR;119900
48;19/07/2022;94;Fingerprint ICON 16 Mesin Absensi Sidik Jari seperti FINGER PRINT A3;Electronics;Mesin Absensi;415000;;
49;10/07/2022;340;MAKE OVER POWERSTAY Color Correcting Primer 25 ml - Makeup Primer - Green;Make-up;Face Primer;228000;;
50;20/07/2022;315;ESQA Flawless Cushion Serum SPF 50+ PA+++ - Milkshake;Make-up;Cushion;240500;;
51;01/07/2022;49;Regulator Gas Quantum QRL 03;Kitchen Equipment;Regulator & Penghemat Gas;192000;AWAL_GAJIAN;177000
52;13/07/2022;2;Pencetan Pompa Galon Elektrik Recharge Usb;Kitchen Equipment;Pompa Galon;50000;GRATIS_ONGKIR;45000
53;13/07/2022;83;Pen Laser Pointer 5mw Warna Merah Beam Laser Merah Pointer Pen Pulpen;Electronics;Laser Pointer;36800;;
54;05/07/2022;117;Mouse Wireless Pointer Untuk Presentasi Terlarisss !!!;Electronics;Laser Pointer;95800;;
55;25/07/2022;62;REGULATOR WINN GAS W 900 M DOUBLE LOCK / PENGUNCI GANDA;Kitchen Equipment;Regulator & Penghemat Gas;299700;GRATIS_ONGKIR;294700
56;12/07/2022;68;KARET GAS/Seal Karet Tabung Alat Pengaman Gas LPG Klep Tabung Silicon;Kitchen Equipment;Regulator & Penghemat Gas;9900;;
57;24/07/2022;6;MIISOO Pompa Galon elektrik Portable Water Electric Pump - POMPA MIISOO;Kitchen Equipment;Pompa Galon;74700;;
58;25/07/2022;325;PIGEON Compact Powder + UV Protection Refill / Bedak Remaja - UV NATURAL;Make-up;Bedak Wajah;27000;GRATIS_ONGKIR;22000
59;10/07/2022;252;Jaket Motor Harian Gunung Casual Pria Musim Hujan Anti Air Tahan Angin - HITAM ABU, M;Fashion Wanita;Hoodie Wanita;200000;;
60;15/07/2022;303;MAKE OVER Powerstay Demi-Matte Cover Cushion 15 g - N10 Marble;Make-up;Cushion;168750;GRATIS_ONGKIR;163750
61;12/07/2022;159;rompi outdoor/rompi pria/rompi parasut/best pria/rompi lapangan/rompi - hijau army, S;Fashion Pria;Vest Pria;80000;;
62;07/07/2022;277;CLOUWNY - Denis Jacket Premium Canvas Twill Jaket Unisex Casual - Brick, XXL;Fashion Wanita;Jacket Wanita;189000;GRATIS_ONGKIR;184000
63;09/07/2022;15;W60 Pompa Galon Elektrik - Water Pump Electric - Pompa Air Elektrik;Kitchen Equipment;Pompa Galon;68000;GRATIS_ONGKIR;63000
64;20/07/2022;276;ROMPI RAJUT CABLE / ROMPI KEPANG WANITA TERBARU - MINT;Fashion Wanita;Vest Wanita;40500;;
65;30/07/2022;387;AMLODIPINE BESILATE KIMIA FARMA 5 MG BOX 50 TABLET;Medicine;Obat Sakit Kepala & Demam;25866;;
66;07/07/2022;374;O.TWO.O Makeup Blush Stick Hydrating Gloss Lip & Cheek 6 Colors Beauty - 05 OBSESSED;Make-up;Blush On;106000;;
67;03/07/2022;240;Sweater Candiez Oversize Wanita Sweatshirt Crewneck Switer Terkini - Denim - Mint, L;Fashion Wanita;Sweater Wanita;101000;GRATIS_ONGKIR;96000
68;10/07/2022;143;Deli Mesin Absen Sidik Jari 1000 kapasitas bahasa indonesia E3960;Electronics;Mesin Absensi;480000;;
69;15/07/2022;220;Outerwear Pria Erigo Hoodie Godfrey Fleece Black - M;Fashion Pria;Hoodie  Pria;390000;GRATIS_ONGKIR;385000
70;29/07/2022;195;JAKET OUTDOOR PRIA JAKET MOTOR ANTI AIR JAKET MILITER FASHION PRIA - hijau army, M;Fashion Pria;Jaket Pria;238000;GRATIS_ONGKIR;233000
71;01/07/2022;317;SOMETHINC Copy Paste Breathable Mesh Cushion SPF 33 PA++ - Serene Refill;Make-up;Cushion;98750;;
72;12/07/2022;1;mesin ro 500gpd 12step alkaline+uv ultraviolet;Kitchen Equipment;Water Purifier;8550000;;
73;08/07/2022;416;CANDESARTAN OGB DEXA MEDICA 8 MG BOX 30 TABLET;Medicine;Obat Alergi;25260;GRATIS_ONGKIR;20260
74;11/07/2022;269;Jaket wanita zipper fleece peach polos sansscollection - peach, M;Fashion Wanita;Jacket Wanita;124800;GRATIS_ONGKIR;119800
